"Zone ID","verygood","good","fair","bad","verybad"
"E02000001",4854,2640,668,167,43
"E02000002",4135,2640,975,350,133
"E02000003",5933,3876,1239,367,105
"E02000004",3234,2178,766,242,50
"E02000005",5836,3572,1185,353,135
"E02000007",5051,3283,1151,433,135
"E02000008",6467,4364,1597,614,198
"E02000009",6776,4126,1363,467,131
"E02000010",4734,3161,1088,400,106
"E02000011",3536,2348,747,240,56
"E02000012",5863,3879,1323,339,101
"E02000013",4715,3066,1079,421,117
"E02000014",4714,3353,1253,389,109
"E02000015",4143,2669,994,327,94
"E02000016",5741,3467,965,281,106
"E02000017",4565,3157,966,311,89
"E02000018",4812,3196,1023,375,140
"E02000019",4822,3221,1089,365,107
"E02000020",7305,4744,1438,430,129
"E02000021",4608,2779,913,279,79
"E02000022",4484,2337,630,210,52
"E02000023",4334,2428,768,301,102
"E02000024",5845,3502,1040,277,71
"E02000025",4459,2769,958,310,82
"E02000026",3451,2041,662,205,70
"E02000027",4843,3117,1086,373,126
"E02000028",3520,2130,645,173,49
"E02000029",5341,3014,965,277,78
"E02000030",5110,2955,926,273,97
"E02000031",4474,2674,735,223,61
"E02000032",4236,2529,885,212,67
"E02000033",4549,2862,1071,272,92
"E02000034",5064,2819,820,244,95
"E02000035",4483,2629,810,229,63
"E02000036",5958,3550,1211,344,123
"E02000037",6155,3273,1016,308,83
"E02000038",5681,3319,1082,296,89
"E02000039",4147,2203,587,168,61
"E02000040",5105,2530,844,297,83
"E02000041",5039,3028,1017,255,76
"E02000042",5901,3643,1283,412,114
"E02000043",4323,2321,649,154,48
"E02000044",4681,2799,939,310,115
"E02000045",5558,3344,1093,368,121
"E02000046",3955,2148,628,172,60
"E02000047",6374,4065,1336,434,126
"E02000048",5841,3123,968,274,76
"E02000049",5775,3206,1050,384,117
"E02000050",5517,3212,1137,362,126
"E02000051",5001,2853,922,246,93
"E02000052",5461,3051,980,252,105
"E02000054",4126,2456,718,224,69
"E02000055",6539,3545,1151,292,92
"E02000056",5524,2617,660,178,72
"E02000057",4975,2105,645,177,63
"E02000058",6202,2767,917,253,81
"E02000059",5742,4091,1276,383,129
"E02000060",7586,2461,936,312,123
"E02000061",4843,2333,746,219,89
"E02000062",3541,2281,756,271,88
"E02000063",3977,2369,791,271,102
"E02000064",3561,2078,643,227,82
"E02000065",4721,2253,745,221,73
"E02000066",4829,2956,1142,347,110
"E02000067",5223,3439,1121,331,107
"E02000068",4315,2576,893,296,85
"E02000069",3616,2346,904,239,77
"E02000070",3950,2733,1046,293,90
"E02000071",3792,2671,904,227,71
