"Zone ID","hhd"
"E02000001",8373
"E02000002",8235
"E02000003",11520
"E02000004",6469
"E02000005",11081
"E02000007",10052
"E02000008",13240
"E02000009",12862
"E02000010",9484
"E02000011",6927
"E02000012",11506
"E02000013",9398
"E02000014",9818
"E02000015",8227
"E02000016",10560
"E02000017",9088
"E02000018",9549
"E02000019",9604
"E02000020",14046
"E02000021",8658
"E02000022",7713
"E02000023",7932
"E02000024",10737
"E02000025",8578
"E02000026",6429
"E02000027",9545
"E02000028",6517
"E02000029",9677
"E02000030",9361
"E02000031",8167
"E02000032",7929
"E02000033",8846
"E02000034",9046
"E02000035",8214
"E02000036",11186
"E02000037",10834
"E02000038",10466
"E02000039",7166
"E02000040",8859
"E02000041",9413
"E02000042",11354
"E02000043",7495
"E02000044",8844
"E02000045",10484
"E02000046",6962
"E02000047",12335
"E02000048",10282
"E02000049",10531
"E02000050",10354
"E02000051",9114
"E02000052",9849
"E02000054",7594
"E02000055",11616
"E02000056",9053
"E02000057",7966
"E02000058",10222
"E02000059",11621
"E02000060",11418
"E02000061",8227
"E02000062",6937
"E02000063",7510
"E02000064",6592
"E02000065",8013
"E02000066",9386
"E02000067",10224
"E02000068",8165
"E02000069",7184
"E02000070",8111
"E02000071",7665
"E02000072",12920
"E02000073",10726
"E02000074",8833
"E02000075",7986
"E02000077",8067
"E02000078",7880
"E02000079",8582
"E02000080",10065
"E02000081",8257
"E02000082",9336
"E02000083",11248
"E02000084",11115
"E02000085",7960
"E02000086",7174
"E02000087",8199
"E02000088",7750
"E02000089",7742
"E02000090",9259
"E02000091",10093
"E02000092",6703
"E02000093",11823
"E02000094",10393
"E02000095",10461
"E02000096",7585
"E02000097",9532
"E02000098",8619
"E02000099",9555
"E02000100",7937
"E02000101",9746
"E02000102",8319
"E02000103",9806
"E02000104",7392
"E02000105",9798
"E02000106",10341
"E02000107",10924
"E02000108",7230
"E02000110",8164
"E02000111",11158
"E02000112",11660
"E02000113",9629
"E02000114",8995
"E02000115",8502
"E02000116",8514
"E02000117",12684
"E02000118",11291
"E02000119",10435
"E02000120",9014
"E02000121",12237
"E02000122",8164
"E02000123",13566
"E02000124",9939
"E02000125",9940
"E02000126",8149
"E02000127",9302
"E02000128",7594
"E02000130",8418
"E02000131",10485
"E02000132",9790
"E02000133",10650
"E02000134",11669
"E02000135",9715
"E02000136",5595
"E02000137",8272
"E02000138",8495
"E02000139",7636
"E02000140",8661
"E02000141",7204
"E02000142",8682
"E02000144",10027
"E02000145",8820
"E02000146",9539
"E02000147",8190
"E02000148",6721
"E02000149",8166
"E02000150",8419
"E02000151",7543
"E02000152",7954
"E02000153",8106
"E02000154",8526
"E02000155",7156
"E02000156",12236
"E02000157",8367
"E02000158",7788
"E02000159",7117
"E02000160",8031
"E02000161",8652
"E02000162",7045
"E02000163",7716
"E02000165",7172
"E02000166",7709
"E02000167",7188
"E02000168",7733
"E02000169",7165
"E02000170",7884
"E02000171",7360
"E02000172",9576
"E02000173",7439
"E02000174",8059
"E02000175",8917
"E02000176",5855
"E02000177",8399
"E02000178",8842
"E02000179",5717
"E02000180",7833
"E02000181",8066
"E02000182",7093
"E02000183",7568
"E02000184",8213
"E02000185",8880
"E02000186",6055
"E02000187",9238
"E02000188",6834
"E02000191",3791
"E02000192",6563
"E02000193",5512
"E02000194",9053
"E02000195",9612
"E02000196",7826
"E02000197",9004
"E02000198",8845
"E02000199",8402
"E02000200",8921
"E02000201",8678
"E02000202",8843
"E02000203",7852
"E02000204",9600
"E02000206",10676
"E02000207",8890
"E02000208",10747
"E02000209",9061
"E02000210",8702
"E02000211",8269
"E02000212",9392
"E02000213",12698
"E02000214",6236
"E02000215",11712
"E02000216",7078
"E02000217",11921
"E02000218",6669
"E02000219",7541
"E02000221",10654
"E02000222",8278
"E02000223",8530
"E02000224",7988
"E02000225",7498
"E02000226",7440
"E02000227",11680
"E02000228",7864
"E02000229",6163
"E02000230",10234
"E02000231",7709
"E02000232",6182
"E02000233",6239
"E02000234",9342
"E02000235",6802
"E02000236",9102
"E02000237",7588
"E02000238",10707
"E02000239",9042
"E02000240",11186
"E02000241",7395
"E02000242",6885
"E02000243",8659
"E02000244",7885
"E02000245",9297
"E02000246",9449
"E02000247",10974
"E02000248",7717
"E02000249",8317
"E02000250",6414
"E02000251",8303
"E02000252",10281
"E02000253",10260
"E02000254",9120
"E02000255",9733
"E02000256",9125
"E02000258",6847
"E02000259",6584
"E02000260",9657
"E02000261",12634
"E02000262",9245
"E02000263",13694
"E02000264",8366
"E02000265",11106
"E02000266",12867
"E02000267",8134
"E02000268",9145
"E02000269",8117
"E02000270",9602
"E02000271",6941
"E02000272",6655
"E02000275",8082
"E02000276",6758
"E02000277",7473
"E02000278",9350
"E02000279",12308
"E02000280",8585
"E02000281",9573
"E02000282",9887
"E02000283",8507
"E02000284",8714
"E02000285",6643
"E02000286",8637
"E02000287",7276
"E02000288",12772
"E02000289",6774
"E02000290",6673
"E02000291",9978
"E02000292",9821
"E02000293",6379
"E02000294",9311
"E02000295",8609
"E02000296",10170
"E02000297",9335
"E02000298",8162
"E02000299",9444
"E02000300",8786
"E02000301",10201
"E02000302",8652
"E02000303",8346
"E02000304",7946
"E02000305",8719
"E02000306",9116
"E02000307",10104
"E02000308",8743
"E02000309",11745
"E02000311",10535
"E02000312",11262
"E02000313",6479
"E02000314",12715
"E02000315",9827
"E02000317",7485
"E02000318",11050
"E02000319",10550
"E02000320",6951
"E02000321",7665
"E02000323",12776
"E02000324",7799
"E02000326",7790
"E02000327",6518
"E02000328",6471
"E02000329",6326
"E02000331",8175
"E02000332",7410
"E02000333",6173
"E02000334",6629
"E02000335",6675
"E02000337",8471
"E02000339",6286
"E02000340",6863
"E02000341",7956
"E02000342",5755
"E02000343",7045
"E02000344",6354
"E02000345",8197
"E02000346",9280
"E02000347",8055
"E02000348",8105
"E02000350",10241
"E02000351",9247
"E02000352",6699
"E02000353",7763
"E02000354",9588
"E02000355",8102
"E02000356",7034
"E02000357",6845
"E02000358",11065
"E02000359",6683
"E02000360",11510
"E02000361",8054
"E02000362",6756
"E02000363",11168
"E02000364",9210
"E02000366",8229
"E02000367",10271
"E02000368",9903
"E02000369",13418
"E02000370",8828
"E02000372",9048
"E02000373",7033
"E02000374",6697
"E02000375",7445
"E02000376",6696
"E02000377",7576
"E02000378",6418
"E02000379",7264
"E02000380",5497
"E02000381",7580
"E02000382",5921
"E02000383",8332
"E02000384",8059
"E02000385",5594
"E02000386",7562
"E02000387",5898
"E02000388",8618
"E02000389",8633
"E02000390",6194
"E02000391",7547
"E02000392",9209
"E02000393",5975
"E02000394",9222
"E02000395",5680
"E02000396",6890
"E02000397",7905
"E02000398",7495
"E02000400",7977
"E02000401",6862
"E02000402",6470
"E02000403",7499
"E02000404",7103
"E02000405",6474
"E02000406",6735
"E02000407",7562
"E02000408",8166
"E02000409",6043
"E02000410",6240
"E02000411",10551
"E02000412",7248
"E02000413",7683
"E02000414",7077
"E02000415",7236
"E02000416",8453
"E02000417",6471
"E02000418",5431
"E02000419",8735
"E02000420",7975
"E02000421",8247
"E02000422",7399
"E02000423",6871
"E02000424",6692
"E02000425",8169
"E02000426",6455
"E02000427",6612
"E02000428",8387
"E02000429",6793
"E02000430",6911
"E02000431",5847
"E02000432",6086
"E02000433",8485
"E02000434",9778
"E02000435",8118
"E02000436",5747
"E02000437",8625
"E02000438",8451
"E02000439",9264
"E02000440",9600
"E02000441",7435
"E02000442",9579
"E02000443",10682
"E02000444",8695
"E02000445",11624
"E02000447",8192
"E02000448",7058
"E02000449",8281
"E02000451",6681
"E02000452",9386
"E02000453",8376
"E02000454",7339
"E02000455",11515
"E02000456",7822
"E02000457",7050
"E02000459",9318
"E02000460",7286
"E02000461",6375
"E02000462",6981
"E02000463",8694
"E02000464",7664
"E02000465",9345
"E02000466",8902
"E02000467",11446
"E02000468",8581
"E02000469",7214
"E02000470",9721
"E02000471",7817
"E02000472",9442
"E02000473",10449
"E02000474",9136
"E02000475",9486
"E02000476",9270
"E02000477",9525
"E02000478",5930
"E02000479",9379
"E02000480",13675
"E02000481",8172
"E02000482",6568
"E02000483",7973
"E02000484",8481
"E02000485",8476
"E02000486",7300
"E02000487",7820
"E02000488",7545
"E02000489",8634
"E02000490",8469
"E02000491",10596
"E02000492",6802
"E02000493",6736
"E02000494",7833
"E02000495",10372
"E02000496",7654
"E02000497",9443
"E02000498",6377
"E02000499",7727
"E02000500",8237
"E02000501",8421
"E02000502",8874
"E02000503",8688
"E02000504",7643
"E02000506",7895
"E02000507",8194
"E02000508",10470
"E02000509",8480
"E02000510",8919
"E02000511",9861
"E02000512",8800
"E02000513",9760
"E02000514",10665
"E02000515",13291
"E02000516",8629
"E02000517",10332
